idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
1,2.0,75.0,0,2.0
1,1.0,71.0,0,0.0
1,1.0,69.0,0,0.0
1,2.0,66.0,0,0.0
2,2.0,60.0,0,2.0
2,1.0,64.0,0,1.0
2,1.0,60.0,0,4.0
3,1.0,77.0,0,0.0
3,2.0,77.0,0,2.0
3,2.0,73.0,0,1.0
4,2.0,66.0,0,2.0
5,1.0,71.0,0,0.0
5,2.0,62.0,0,0.0
6,1.0,69.0,0,2.0
6,2.0,68.0,0,2.0
7,2.0,79.0,1,0.0
8,1.0,68.0,1,0.0
8,2.0,60.0,1,2.0
9,1.0,73.0,0,0.0
11,2.0,42.0,0,1.0
12,2.0,68.0,0,0.0
13,1.0,57.0,0,0.0
13,2.0,30.0,0,2.0
13,2.0,57.0,0,4.0
13,2.0,28.0,0,2.0
14,2.0,69.0,0,1.0
14,2.0,76.0,0,1.0
15,2.0,61.0,0,3.0
16,2.0,63.0,0,2.0
16,2.0,62.0,0,2.0
16,1.0,58.0,0,0.0
16,2.0,69.0,0,0.0
16,1.0,68.0,0,0.0
17,2.0,64.0,0,0.0
17,2.0,77.0,0,1.0
17,1.0,68.0,0,0.0
17,2.0,69.0,0,0.0
19,2.0,70.0,1,0.0
20,2.0,74.0,1,0.0
21,2.0,76.0,0,4.0
21,2.0,71.0,0,3.0
22,1.0,73.0,0,1.0
22,2.0,63.0,0,1.0
22,1.0,75.0,0,0.0
22,1.0,70.0,0,0.0
23,2.0,75.0,0,2.0
24,2.0,67.0,1,3.0
25,2.0,46.0,0,0.0
26,2.0,74.0,0,0.0
26,2.0,74.0,0,0.0
27,2.0,74.0,0,1.0
27,2.0,62.0,0,1.0
28,2.0,70.0,0,1.0
29,2.0,76.0,0,1.0
31,2.0,57.0,1,5.0
31,2.0,48.0,1,1.0
31,2.0,53.0,1,0.0
31,2.0,45.0,1,0.0
35,2.0,42.0,0,1.0
35,2.0,30.0,0,0.0
35,1.0,26.0,0,0.0
39,1.0,60.0,1,5.0
39,2.0,30.0,0,3.0
39,2.0,42.0,0,2.0
40,2.0,82.0,1,0.0
43,2.0,28.0,0,1.0
43,2.0,25.0,0,0.0
43,2.0,19.0,0,0.0
45,2.0,61.0,1,0.0
46,2.0,62.0,0,0.0
55,1.0,52.0,1,0.0
57,1.0,66.0,1,0.0
61,1.0,61.0,0,0.0
62,1.0,46.0,0,0.0
62,1.0,33.0,0,0.0
62,1.0,29.0,0,0.0
71,2.0,50.0,0,0.0
71,1.0,32.0,1,0.0
73,2.0,83.0,0,1.0
73,2.0,27.0,1,2.0
73,2.0,35.0,0,0.0
73,2.0,34.0,0,1.0
73,1.0,29.0,0,0.0
73,2.0,59.0,1,0.0
78,2.0,59.0,1,0.0
78,1.0,54.0,0,1.0
85,2.0,59.0,1,1.0
88,2.0,54.0,1,1.0
89,1.0,57.0,1,1.0
90,1.0,56.0,1,3.0
94,2.0,33.0,0,1.0
95,1.0,67.0,1,1.0
95,2.0,21.0,1,1.0
98,1.0,65.0,1,1.0
99,1.0,59.0,1,1.0
101,1.0,57.0,0,0.0
114,1.0,22.0,1,0.0
114,2.0,26.0,0,0.0
114,2.0,42.0,0,0.0
117,2.0,49.0,1,0.0
130,2.0,42.0,0,0.0
130,2.0,33.0,0,0.0
131,1.0,70.0,0,1.0
132,2.0,27.0,1,0.0
140,1.0,54.0,1,0.0
147,2.0,49.0,1,5.0
150,2.0,32.0,0,0.0
150,2.0,37.0,0,0.0
150,1.0,34.0,0,0.0
160,1.0,74.0,1,1.0
160,2.0,49.0,0,2.0
160,2.0,46.0,0,2.0
160,2.0,38.0,0,2.0
160,1.0,37.0,0,1.0
161,2.0,83.0,1,2.0
162,2.0,57.0,1,0.0
171,1.0,63.0,1,9.0
174,2.0,71.0,1,1.0
175,1.0,67.0,1,1.0
180,1.0,60.0,1,0.0
185,1.0,63.0,1,3.0
187,1.0,62.0,0,0.0
191,2.0,59.0,1,5.0
193,2.0,56.0,1,0.0
195,1.0,63.0,1,0.0
197,2.0,56.0,0,0.0
202,1.0,43.0,0,1.0
206,1.0,59.0,1,0.0
210,2.0,55.0,1,0.0
214,1.0,56.0,1,1.0
217,1.0,60.0,1,0.0
219,2.0,25.0,1,4.0
219,2.0,33.0,0,2.0
219,1.0,30.0,0,1.0
219,1.0,28.0,0,2.0
222,1.0,80.0,1,0.0
226,2.0,37.0,0,0.0
226,1.0,34.0,1,0.0
226,1.0,22.0,1,0.0
227,2.0,39.0,0,5.0
246,1.0,58.0,1,1.0
246,1.0,19.0,1,2.0
247,2.0,50.0,1,2.0
249,2.0,43.0,0,1.0
252,2.0,57.0,0,0.0
252,1.0,52.0,0,0.0
254,1.0,60.0,1,2.0
255,1.0,73.0,1,1.0
