idind_care,SEXE,AGE,SDPOI,SDTAIL,imc,idmen_care,rev_ind_senior_i,rev_ind_conj_i,rev_alr_conj_i,rev_alr_senior_i,AGE_CAT
1000001,2,91,66.0,150.0,29.333333333,10000,1930.0,17339.0,0.0,0,91 to 110
100001,2,62,72.0,169.0,25.209201358,1000,10182.0,13637.0,0.0,0,60 to 70
10001,1,60,80.0,173.0,26.729927495,100,21540.0,2996.0,0.0,0,60 to 70
1000101,1,91,60.0,170.0,20.761245675,10001,9686.0,,,0,91 to 110
1000201,2,91,55.0,158.0,22.031725685,10002,7460.0,10455.0,0.0,0,91 to 110
1000301,1,91,70.0,165.0,25.711662075,10003,26877.0,2166.0,0.0,0,91 to 110
1000401,1,91,82.0,164.0,30.487804878,10004,13323.0,,,0,91 to 110
1000501,1,91,70.0,158.0,28.040378145,10005,20559.0,,,0,91 to 110
1000601,1,91,80.0,173.0,26.729927495,10006,46095.0,4414.0,0.0,0,91 to 110
1000701,2,91,60.0,164.0,22.308149911,10007,10914.0,,,0,91 to 110
1000801,1,91,65.0,169.0,22.758306782,10008,36108.0,4896.0,0.0,0,91 to 110
1000901,2,91,52.0,157.0,21.096190515,10009,13989.0,,,0,91 to 110
1001,2,100,47.0,150.0,20.888888889,10,20992.0,,,0,91 to 110
1001001,1,91,81.0,172.0,27.379664684,10010,17787.0,,,0,91 to 110
100101,2,62,45.0,155.0,18.730489074,1001,24004.0,31247.0,0.0,0,60 to 70
1001101,2,91,80.0,161.0,30.863006828,10011,11321.0,,,0,91 to 110
1001201,2,91,55.0,155.0,22.892819979,10012,18539.0,,,0,91 to 110
1001301,2,91,60.0,163.0,22.582709172,10013,14144.0,,,0,91 to 110
1001401,2,91,,160.0,,10014,32210.0,,,0,91 to 110
1001501,2,91,47.0,150.0,20.888888889,10015,10498.0,,,0,91 to 110
1001601,2,91,57.0,157.0,23.124670372,10016,11737.0,,,0,91 to 110
1001701,2,91,68.0,156.0,27.942143327,10017,10787.0,,,0,91 to 110
1001801,2,91,,158.0,,10018,19487.0,,,0,91 to 110
1001901,2,91,55.0,155.0,22.892819979,10019,16983.0,,,0,91 to 110
1002001,2,91,,153.0,,10020,20088.0,,,0,91 to 110
100201,1,62,73.0,175.0,23.836734694,1002,14953.0,10887.0,0.0,0,60 to 70
1002101,2,92,42.0,170.0,14.532871972,10021,13050.0,,,0,91 to 110
1002201,1,92,120.0,178.0,37.874005807,10022,34312.0,,,0,91 to 110
1002301,2,92,50.0,155.0,20.811654527,10023,11198.0,,,0,91 to 110
1002401,1,92,69.0,172.0,23.323418064,10024,15272.0,8069.0,0.0,0,91 to 110
1002501,2,92,43.0,160.0,16.796875,10025,17288.0,26303.0,0.0,0,91 to 110
1002601,2,92,88.0,161.0,33.949307511,10026,14274.0,,,0,91 to 110
1002701,2,92,64.0,162.0,24.386526444,10027,45182.0,,,0,91 to 110
1002801,2,92,60.0,160.0,23.4375,10028,33992.0,,,0,91 to 110
1002901,2,92,85.0,158.0,34.049030604,10029,19741.0,,,0,91 to 110
1003001,2,92,63.0,160.0,24.609375,10030,44680.0,,,0,91 to 110
100301,1,62,78.0,177.0,24.897060232,1003,42551.0,,,0,60 to 70
1003101,1,92,,160.0,,10031,14001.0,8640.0,0.0,0,91 to 110
1003201,2,92,55.0,160.0,21.484375,10032,9234.0,,,0,91 to 110
1003301,2,92,68.0,164.0,25.282569899,10033,14983.0,,,3600,91 to 110
1003401,2,92,75.0,162.0,28.577960677,10034,21673.0,,,0,91 to 110
1003501,2,92,72.0,152.0,31.163434903,10035,22206.0,,,0,91 to 110
1003601,2,92,,160.0,,10036,11419.0,,,0,91 to 110
1003701,2,92,60.0,153.0,25.6311675,10037,23416.0,,,0,91 to 110
1003801,2,92,44.0,150.0,19.555555556,10038,9694.0,,,0,91 to 110
1003901,2,92,68.0,170.0,23.529411765,10039,12281.0,,,0,91 to 110
1004001,2,92,65.0,168.0,23.030045351,10040,10773.0,,,0,91 to 110
100401,1,62,82.0,178.0,25.880570635,1004,16070.0,,,0,60 to 70
1004101,1,92,70.0,170.0,24.221453287,10041,67311.0,,,0,91 to 110
1004201,2,92,50.0,150.0,22.222222222,10042,14396.0,,,0,91 to 110
1004301,1,92,80.0,172.0,27.041644132,10043,21049.0,0.0,0.0,0,91 to 110
1004401,2,92,50.0,157.0,20.284798572,10044,8787.0,,,0,91 to 110
1004501,2,92,95.0,160.0,37.109375,10045,13705.0,,,0,91 to 110
1004601,2,92,60.0,155.0,24.973985432,10046,14969.0,,,0,91 to 110
1004701,2,92,50.0,153.0,21.35930625,10047,16222.0,,,0,91 to 110
1004801,1,92,59.0,167.0,21.155294202,10048,30200.0,2225.0,0.0,0,91 to 110
1004901,2,92,64.0,155.0,26.638917794,10049,14535.0,,,0,91 to 110
1005001,2,92,63.0,160.0,24.609375,10050,25386.0,,,0,91 to 110
100501,2,62,91.0,160.0,35.546875,1005,39823.0,,,0,60 to 70
1005101,2,92,71.0,158.0,28.440954975,10051,12609.0,,,0,91 to 110
1005201,1,92,70.0,166.0,25.402816084,10052,21572.0,0.0,0.0,0,91 to 110
1005301,2,92,64.0,158.0,25.636917161,10053,6327.0,,,0,91 to 110
1005401,1,92,53.0,168.0,18.778344671,10054,17560.0,23095.0,0.0,0,91 to 110
1005501,2,92,,160.0,,10055,11100.0,,,0,91 to 110
1005601,2,92,80.0,158.0,32.046146451,10056,19277.0,,,0,91 to 110
1005701,1,92,80.0,170.0,27.6816609,10057,13028.0,,,0,91 to 110
1005801,2,92,72.0,155.0,29.968782518,10058,6881.0,,,0,91 to 110
1005901,2,92,64.0,155.0,26.638917794,10059,17387.0,,,0,91 to 110
1006001,2,92,45.0,150.0,20.0,10060,16484.0,,,0,91 to 110
100601,2,62,79.0,161.0,30.477219243,1006,8505.0,17322.0,0.0,0,60 to 70
1006101,2,92,46.0,150.0,20.444444444,10061,4865.0,,,0,91 to 110
1006201,2,92,40.0,148.0,18.261504748,10062,13779.0,,,0,91 to 110
1006301,2,92,55.0,155.0,22.892819979,10063,22118.0,,,0,91 to 110
1006401,2,92,75.0,160.0,29.296875,10064,18590.0,,,0,91 to 110
1006501,1,92,59.0,170.0,20.415224913,10065,14552.0,,,0,91 to 110
1006601,2,92,50.0,151.0,21.928862769,10066,13610.0,,,0,91 to 110
1006701,2,92,54.0,160.0,21.09375,10067,24077.0,,,0,91 to 110
1006801,1,92,68.0,167.0,24.382372979,10068,39050.0,,,0,91 to 110
1006901,2,92,,,,10069,22711.0,,,0,91 to 110
1007001,2,92,69.0,165.0,25.344352617,10070,15771.0,,,0,91 to 110
100701,1,62,88.0,176.0,28.409090909,1007,16589.0,24186.0,0.0,0,60 to 70
